X,Y,OBJECTID_1,STATION_ID,COUNTY,LATITUDE,LONGITUDE,ATIS_ID,SE_ANNO_CAD_DATA,LINE_CODE,LAYER,MUNICIPALITY,RAIL_SERVICE,ADA
618521.133867163,459008.903401069,1,Point Pleasant Beach,Ocean,40.09272,-74.04819,123,,NC,STATIONS,Point Pleasant Beach,NC,YES
621972.99572983,480099.145013154,2,Spring Lake,Monmouth,40.15057,-74.03546,142,,NC,STATIONS,Spring Lake,NC,NO
624196.750796746,491047.220885992,3,Belmar,Monmouth,40.18059,-74.0273,15,,NC,STATIONS,Belmar,NC,NO
626480.961123329,499505.650819488,4,Bradley Beach,Monmouth,40.20378,-74.01896,22,,NC,STATIONS,Neptune Twp,NC,NO
627622.289549328,503731.988823488,5,Asbury Park,Monmouth,40.21536,-74.01479,8,,NC,STATIONS,Asbury Park,NC,YES
629819.023672912,511866.494864158,6,Allenhurst,Monmouth,40.23766,-74.00676,4,,NC,STATIONS,Allenhurst,NC,NO
632321.851672497,521958.782750405,7,Elberon,Monmouth,40.26532,-73.99759,40,,NC,STATIONS,Long Branch,NC,YES
634837.338439412,533565.813998237,8,Long Branch,Monmouth,40.29715,-73.98834,74,,NC,STATIONS,Long Branch,NC,YES
627314.568051912,539442.008282572,9,Monmouth Park,Monmouth,40.31339,-74.01519,RAIL0162,,NC,STATIONS,Oceanport,NC,NO
620077.395190328,544255.054430738,10,Little Silver,Monmouth,40.32671,-74.04105,73,,NC,STATIONS,Little Silver,NC,NO
610700.534678996,552076.81076882,11,Red Bank,Monmouth,40.34831,-74.07455,131,,NC,STATIONS,Red Bank,NC,YES
599046.041583829,567129.421739653,12,Middletown,Monmouth,40.38978,-74.11613,86,,NC,STATIONS,Middletown Twp,NC,YES
578328.62468541,576373.766767986,13,Hazlet,Monmouth,40.41538,-74.19039,58,,NC,STATIONS,Hazlet Twp,NC,YES
569049.940814994,578087.256451242,14,Aberdeen-Matawan,Monmouth,40.42017,-74.2237,83,,NC,STATIONS,Matawan,NC,YES
553278.92839383,601408.574309818,15,South Amboy,Middlesex,40.48431,-74.28014,140,,NC,STATIONS,South Amboy,NC,YES
